social_interaction_level;gender;platform_usage;depresión;sleep_hours;screen_time_before_sleep;academic_performance;physical_activity;stress_level;anxiety_level;addiction_level;;age;daily_social_media_hours
medium;female;Both;no;8.4;1.8;2.93;1.3;1;6;8;;19;7.1
low;female;TikTok;no;8.4;2.3;2.52;0.9;4;5;3;;15;4
low;male;Instagram;no;8.4;2.1;2.62;2;5;10;5;;19;4.5
low;male;TikTok;no;8.4;0.9;3.6;1.9;1;2;2;;17;3.8
medium;male;Both;no;8.5;1.8;3.65;1.8;5;10;10;;14;1.2
medium;male;Both;no;8.5;2.3;3.3;1.9;1;1;5;;13;5.8
medium;male;Both;no;8.5;1.2;3.56;0;7;10;7;;17;7.7
high;female;Instagram;no;8.5;1.1;3.03;1.6;5;6;7;;14;2.1
high;female;Both;no;8.5;0.8;3.33;1.3;5;1;3;;13;1.9
medium;female;Both;no;8.5;0.9;3.71;0.7;3;3;6;;14;1.3
medium;male;TikTok;no;8.5;2.4;2.79;1.1;1;6;7;;17;2.4
high;female;TikTok;no;8.5;1;3.32;1.3;1;1;7;;18;1.7
low;female;Instagram;no;8.5;1.5;3.55;1.3;5;6;1;;19;6.9
medium;male;TikTok;no;8.5;2.8;3.77;1.3;5;4;3;;18;4.8
high;male;Both;no;8.5;0.8;2.91;1.3;6;3;1;;15;2.7
high;female;Instagram;no;8.5;2;3.77;1.9;4;1;7;;15;1
high;female;TikTok;no;8.5;1;2.16;0.1;1;7;5;;17;4
medium;male;Both;no;8.5;2.3;3.91;1.8;1;8;1;;14;1.2
high;male;Both;no;8.5;1.2;3.29;0.5;6;2;9;;19;3.3
low;female;Both;no;8.5;1.5;3.54;1.2;3;3;7;;17;7.3
high;female;Instagram;no;8.5;2.2;2.11;1.3;8;8;2;;17;3.5
low;male;Both;no;8.5;1.9;3.06;1.9;5;7;6;;13;2.6
high;female;Instagram;no;8.5;2.1;3.19;0.6;7;9;9;;15;3.9
medium;male;Instagram;no;8.6;2.4;3.81;0.4;10;4;1;;19;1.6
high;male;Both;no;8.6;1.1;2.36;1.6;1;10;10;;18;6.8
high;male;Instagram;no;8.6;0.9;2.3;0;1;5;3;;15;7.4
low;male;TikTok;no;8.6;1.3;3.64;1.6;5;3;1;;16;2.6
low;female;Both;no;8.6;1.5;3.22;1.6;4;5;7;;18;6.2
high;female;Both;no;8.6;3;2.77;0.1;3;6;1;;17;4.1
medium;female;Instagram;no;8.6;1.5;2.84;0.3;6;4;3;;16;3
low;female;TikTok;no;8.6;2.8;3.28;0.7;10;3;5;;13;3.6
high;male;Instagram;no;8.6;1.9;3.33;0.9;7;3;10;;13;7.5
low;female;TikTok;no;8.6;1.5;3.27;0.8;10;10;4;;15;3
low;male;TikTok;no;8.6;0.8;3.08;0.4;7;10;6;;13;3.4
high;male;Instagram;no;8.6;3;3.62;1.2;6;6;9;;17;4.9
high;female;TikTok;no;8.6;1.1;2.62;0.4;4;7;9;;17;3.3
high;female;Instagram;no;8.6;1.5;2.63;1.1;1;9;9;;15;6.6
low;female;TikTok;no;8.6;2;3.01;0;1;8;3;;15;4.6
low;female;Instagram;no;8.6;1.9;3.33;1.1;1;7;8;;17;5.1
medium;male;TikTok;no;8.6;0.9;2.36;1.7;9;1;3;;17;1.7
low;female;Both;no;8.6;2.2;3.53;1.9;2;5;8;;18;2
high;female;Both;no;8.6;2.3;2.57;1.3;9;10;5;;17;6.4
low;male;Instagram;no;8.6;0.7;2.42;0.2;2;6;8;;13;3.6
low;female;TikTok;no;8.6;1.8;2.19;0.7;8;4;7;;13;6.2
medium;male;Both;no;8.6;0.7;2.99;1.5;3;8;3;;13;5
medium;female;Both;no;8.6;0.9;2.25;1.6;9;8;4;;19;7.5
high;male;TikTok;no;8.6;2.6;3.53;0.1;8;8;10;;18;1.6
medium;female;Both;no;8.6;2.4;3.31;0.7;2;6;2;;13;1.4
high;male;Instagram;no;8.6;2.7;3.28;0.8;5;4;6;;18;2.6
low;male;Both;no;8.6;1.8;2.44;1.7;8;7;3;;16;4.8
medium;male;TikTok;no;8.6;1.4;2.69;1.6;4;3;4;;19;1.6
low;female;TikTok;no;8.6;1.4;2.19;1.8;10;10;1;;15;7.4
high;female;Both;no;8.6;2.3;3.68;0.5;1;2;7;;15;1.1
high;female;Instagram;no;8.6;1.9;3.88;0.2;1;6;9;;13;5.9
high;male;Both;no;8.7;0.6;2.64;0.1;8;9;4;;14;5.7
high;female;Instagram;no;8.7;2.5;3.69;0.4;8;2;9;;13;1.6
high;male;TikTok;no;8.7;1.2;3;0;8;8;4;;16;2
medium;male;Both;no;8.7;1.2;2.52;0.1;9;7;2;;15;1.5
low;male;Both;no;8.7;1.9;2.67;1.3;1;5;7;;16;5.4
low;male;TikTok;no;8.7;1.9;2.28;1.2;7;7;9;;13;2
high;female;Both;no;8.7;3;2.84;1.4;5;3;2;;15;7
low;male;Both;no;8.7;1.5;3.7;2;10;9;5;;17;8
medium;female;Instagram;no;8.7;1.2;3.25;1.5;9;9;1;;13;2.3
medium;female;Instagram;no;8.7;1.4;3.5;1.3;9;4;5;;13;3.5
medium;female;Both;no;8.7;1.5;3.76;0.1;2;5;4;;16;6
low;female;Both;no;8.7;1.6;2.4;0.1;2;9;7;;19;2.4
medium;male;Both;no;8.7;1.5;2.71;0.7;7;1;4;;13;3.9
low;male;Both;no;8.7;2.1;3.01;0.7;1;1;3;;17;1.1
low;female;TikTok;no;8.7;1.1;2.82;0.3;5;10;6;;15;3.9
high;female;Instagram;no;8.7;2;3.23;1.7;4;10;3;;19;4.7
low;female;TikTok;no;8.7;2;3.14;1.7;1;9;8;;17;5.7
low;female;Instagram;no;8.7;0.6;2.76;1.9;4;8;7;;18;2.3
high;female;TikTok;no;8.7;0.9;4;0.1;10;9;9;;13;1.3
low;male;Both;no;8.7;0.9;2.99;0.8;7;8;2;;19;2.9
high;female;TikTok;no;8.7;2.5;2.29;0.7;7;7;4;;16;7.9
medium;female;TikTok;no;8.7;0.8;2.41;1.3;4;6;8;;13;3.6
low;female;TikTok;no;8.7;0.7;3.98;0.8;1;1;1;;14;1.7
high;male;Instagram;no;8.8;1.3;3.59;1.9;10;6;10;;15;4
low;female;Both;no;8.8;1.2;3.71;1.1;7;6;10;;18;3.2
low;male;Both;no;8.8;2.1;3.75;1.3;10;9;6;;19;7.8
medium;female;Both;no;8.8;1.3;4;0.9;8;10;7;;17;6
medium;female;Instagram;no;8.8;1.7;2.39;1;5;2;6;;16;2.6
low;female;TikTok;no;8.8;1.3;2.69;0.4;3;1;7;;13;4.4
high;female;TikTok;no;8.8;1.9;2.14;0.4;8;10;3;;15;2.7
high;male;TikTok;no;8.8;1.7;3.55;1.3;6;10;9;;16;6.1
low;female;Both;no;8.8;2.5;3.97;1.9;1;3;9;;17;7.2
low;female;TikTok;no;8.8;0.9;3.61;0.7;10;2;3;;14;2
low;female;TikTok;no;8.8;2.3;3.39;0.5;1;9;3;;13;7.9
medium;male;TikTok;no;8.8;0.9;3.03;2;8;10;3;;14;5.6
medium;female;Instagram;no;8.8;1;2.51;2;6;10;10;;16;2.3
low;female;Both;no;8.8;1.5;3.91;0.6;4;9;6;;14;3.1
medium;female;TikTok;no;8.8;0.9;3.84;0.3;10;10;6;;19;6.6
low;female;Both;no;8.8;2.3;2.22;1.2;5;5;3;;19;2.1
high;male;Instagram;no;8.8;1.8;3.99;0.8;6;10;8;;16;7.1
low;female;TikTok;no;8.8;1.9;2.55;1;5;8;3;;18;6.7
medium;female;Both;no;8.8;1.8;3.5;0.8;3;6;3;;15;3.5
high;female;Both;no;8.8;2.5;2.12;0.5;10;10;1;;14;7.3
high;male;TikTok;no;8.8;1.2;2.32;0.5;2;4;5;;16;3.6
medium;male;TikTok;no;8.8;2.3;2.73;0.3;9;2;2;;14;4.4
high;male;Instagram;no;8.9;0.6;2.7;1.8;5;4;1;;13;7
high;male;TikTok;no;8.9;1.9;2.11;1.7;9;5;2;;16;3.6
high;female;TikTok;no;8.9;2.7;3.68;1.9;6;6;10;;13;7.3
low;female;Both;no;8.9;1.2;3.67;0.1;2;8;9;;13;1.8
medium;male;TikTok;no;8.9;2.9;2.53;0.1;8;7;3;;16;2.5
low;male;Both;no;8.9;1.9;2.5;0.4;8;1;3;;19;4.6
medium;female;Both;no;8.9;2.8;2.84;0.4;6;8;6;;19;7
medium;male;Instagram;no;8.9;2.6;2.54;1.8;6;2;5;;16;3.4
medium;male;TikTok;no;8.9;2.6;3.54;1.2;8;5;2;;13;1.3
high;female;Instagram;no;8.9;2.2;3.82;1.2;8;8;4;;13;8
medium;male;TikTok;no;8.9;1.9;2.77;0.2;6;2;2;;14;3.8
medium;female;Instagram;no;8.9;1.1;2.08;1.9;8;5;9;;16;5.8
medium;male;Instagram;no;8.9;0.6;3.67;0.2;9;2;4;;17;7
high;male;TikTok;no;8.9;0.7;2.17;1.3;10;4;3;;14;5.7
medium;female;Both;no;8.9;2;3.44;1.7;10;9;3;;16;6.6
medium;male;Both;no;8.9;2.5;2.29;0.6;9;9;7;;13;3.8
high;male;TikTok;no;8.9;2.4;2.29;1.1;10;4;8;;14;7.4
low;male;Both;no;8.9;1.2;3.33;1.5;4;4;10;;16;2.5
medium;male;Instagram;no;8.9;0.7;2.79;0.4;2;10;8;;18;7
high;female;Instagram;no;8.9;2.9;3.39;1.1;4;9;1;;15;7.4
low;female;TikTok;no;8.9;0.8;2.96;0.5;6;2;2;;18;2
high;female;Instagram;no;9;2.5;3.4;0.9;8;10;5;;17;5
medium;male;TikTok;no;9;2.9;2.74;1;2;8;2;;17;1.1
high;male;TikTok;no;9;1.5;3.04;1.5;4;2;7;;15;6.6
medium;female;Instagram;no;9;2.4;2.53;0.4;7;2;10;;19;5
medium;male;Both;no;9;2.8;3.1;1.6;10;7;6;;14;5.3
low;female;Instagram;no;9;0.7;2.49;0.6;3;6;4;;13;3.3
high;male;Both;no;9;1.5;3.37;1.9;4;3;1;;16;3.7
high;female;Both;no;9;1.2;2.9;1.8;5;10;2;;15;1.1
high;male;Both;no;9;2.9;2.47;1.7;3;7;9;;19;6.6
medium;female;TikTok;no;9;2.4;3.13;0.5;5;3;3;;19;2.4
